days,date,time ,depth,temp,spCond,Cond,Salinity,DO%,DO.Conc
-8,2015/6/24,11:25:50,-0.035,23.52,428,416,0.2,119.9,10.17
-8,2015/6/24,11:25:51,-0.097,23.52,427,415,0.2,119.9,10.17
-8,2015/6/24,11:25:52,-0.145,23.54,427,415,0.2,114.6,9.72
-8,2015/6/24,11:25:53,-0.14,23.55,422,410,0.2,114.6,9.72
-8,2015/6/24,11:25:54,-0.234,23.56,427,415,0.2,114.6,9.72
-8,2015/6/24,11:25:55,-0.282,23.57,428,416,0.2,114.6,9.71
-8,2015/6/24,11:25:56,-0.391,23.57,428,416,0.2,110.8,9.39
-8,2015/6/24,11:25:57,-0.482,23.58,424,412,0.2,110.8,9.39
-8,2015/6/24,11:26:20,-0.535,23.59,426,414,0.2,99.8,8.46
-8,2015/6/24,11:25:58,-0.636,23.59,427,416,0.2,110.7,9.39
-8,2015/6/24,11:25:59,-0.745,23.59,428,416,0.2,110.7,9.38
-8,2015/6/24,11:26:00,-0.726,23.6,428,417,0.21,107.2,9.08
-8,2015/6/24,11:26:01,-0.818,23.6,424,413,0.2,107.2,9.08
-8,2015/6/24,11:26:02,-0.849,23.6,428,417,0.2,107.2,9.08
-8,2015/6/24,11:26:03,-0.893,23.6,427,416,0.2,107.2,9.08
-8,2015/6/24,11:26:04,-0.871,23.6,428,417,0.2,107.2,9.08
-8,2015/6/24,11:26:05,-0.955,23.6,429,417,0.21,104.7,8.87
-8,2015/6/24,11:26:06,-1.023,23.6,428,416,0.2,104.7,8.87
-8,2015/6/24,11:26:07,-1.058,23.6,427,416,0.2,104.7,8.87
-8,2015/6/24,11:26:08,-1.085,23.59,428,416,0.2,102.4,8.68
-8,2015/6/24,11:26:09,-1.097,23.59,427,416,0.2,102.4,8.68
-8,2015/6/24,11:26:10,-1.11,23.59,418,407,0.2,102.4,8.68
8,2015/7/10,2:06:48,-0.012,23.45,0.418,0.406,0.2,,
8,2015/7/10,2:06:49,-0.056,23.51,0.417,0.405,0.2,,
8,2015/7/10,2:06:50,-0.126,23.65,0.417,0.406,0.2,,
8,2015/7/10,2:06:51,-0.195,23.65,0.411,0.4,0.2,,
8,2015/7/10,2:06:52,-0.249,23.57,0.409,0.397,0.2,,
8,2015/7/10,2:06:53,-0.336,23.42,0.406,0.394,0.19,,
8,2015/7/10,2:06:54,-0.425,23.24,0.405,0.391,0.19,,
8,2015/7/10,2:06:55,-0.416,23.06,0.405,0.39,0.19,,
8,2015/7/10,2:06:56,-0.416,22.89,0.405,0.389,0.19,,
8,2015/7/10,2:06:57,-0.575,22.74,0.406,0.388,0.19,,
8,2015/7/10,2:06:58,-0.623,22.6,0.405,0.386,0.19,,
8,2015/7/10,2:06:59,-0.744,22.47,0.405,0.385,0.19,,
8,2015/7/10,2:07:00,-0.713,22.34,0.405,0.385,0.19,,
8,2015/7/10,2:07:01,-0.75,22.23,0.406,0.385,0.19,,
8,2015/7/10,2:07:02,-0.866,22.13,0.408,0.385,0.2,,
8,2015/7/10,2:07:03,-0.95,22.04,0.407,0.384,0.2,,
8,2015/7/10,2:07:04,-1.028,21.96,0.408,0.385,0.2,,
8,2015/7/10,2:07:05,-1.087,21.88,0.409,0.384,0.2,,
8,2015/7/10,2:07:06,-1.152,21.81,0.41,0.385,0.2,,
8,2015/7/10,2:07:07,-1.269,21.74,0.413,0.387,0.2,,
8,2015/7/10,2:07:08,-1.383,21.68,0.418,0.392,0.2,,
8,2015/7/10,2:07:09,-1.447,21.61,0.446,0.417,0.21,,
8,2015/7/10,2:07:10,-1.462,21.51,0.475,0.444,0.23,,
23,2015/7/25,10:29:54,-0.049,23.85,0.393,0.385,0.19,126.1,10.64
23,2015/7/25,10:29:54,-0.107,23.85,0.394,0.385,0.19,126.1,10.64
23,2015/7/25,10:29:55,-0.17,23.84,0.395,0.386,0.19,126.1,10.64
23,2015/7/25,10:29:55,-0.216,23.83,0.393,0.384,0.19,126.1,10.64
23,2015/7/25,10:29:56,-0.279,23.82,0.392,0.383,0.19,126.2,10.65
23,2015/7/25,10:29:56,-0.301,23.79,0.393,0.384,0.19,126.2,10.65
23,2015/7/25,10:29:57,-0.38,23.77,0.392,0.383,0.19,126.2,10.66
23,2015/7/25,10:29:57,-0.406,23.74,0.393,0.383,0.19,126.3,10.67
23,2015/7/25,10:29:58,-0.447,23.7,0.391,0.381,0.19,122.9,10.39
23,2015/7/25,10:29:58,-0.515,23.67,0.392,0.382,0.19,122.9,10.4
23,2015/7/25,10:29:59,-0.562,23.63,0.395,0.385,0.19,123,10.41
23,2015/7/25,10:29:59,-0.636,23.59,0.391,0.38,0.19,123,10.43
23,2015/7/25,10:30:00,-0.69,23.55,0.392,0.381,0.19,123.1,10.44
23,2015/7/25,10:30:00,-0.769,23.51,0.392,0.381,0.19,123.1,10.45
23,2015/7/25,10:30:01,-0.91,23.47,0.391,0.379,0.19,123.2,10.46
23,2015/7/25,10:30:01,-0.986,23.43,0.391,0.379,0.19,123.2,10.48
23,2015/7/25,10:30:02,-1.072,23.39,0.391,0.379,0.19,105.7,8.99
23,2015/7/25,10:30:02,-1.089,23.35,0.391,0.379,0.19,105.7,9
23,2015/7/25,10:30:03,-1.182,23.31,0.394,0.381,0.19,105.8,9.01
23,2015/7/25,10:30:03,-1.265,23.28,0.394,0.381,0.19,105.8,9.02
23,2015/7/25,10:30:04,-1.278,23.23,0.395,0.382,0.19,105.8,9.03
23,2015/7/25,10:30:04,-1.356,23.19,0.398,0.384,0.19,105.9,9.04
23,2015/7/25,10:30:05,-1.392,23.15,0.399,0.385,0.19,105.9,9.05
23,2015/7/25,10:30:05,-1.426,23.1,0.405,0.39,0.19,106,9.07
23,2015/7/25,10:30:06,-1.466,23.04,0.419,0.404,0.2,101.5,8.69
23,2015/7/25,10:30:06,-1.483,22.96,0.419,0.402,0.2,101.6,8.71
23,2015/7/25,10:30:07,-1.493,22.86,0.422,0.405,0.2,101.7,8.74
23,2015/7/25,10:30:07,-1.504,22.76,0.422,0.404,0.2,101.8,8.76
23,2015/7/25,10:30:08,-1.506,22.66,0.425,0.406,0.2,101.9,8.79
32,2015/8/3,10:10:08,0.11,25.18,0.39,0.391,0.19,125.2,10.3
32,2015/8/3,10:10:09,0.114,25.17,0.389,0.391,0.19,125.2,10.3
32,2015/8/3,10:10:09,0.11,25.17,0.39,0.391,0.19,125.2,10.3
