days,date,time ,depth,temp,spCond,Cond,Salinity,DO%,DO.Conc
-8,2015/6/24,2:12:55,-0.009,23.93,0.398,0.39,0.19,131.3,11.06
-8,2015/6/24,2:12:55,-0.047,24.07,0.398,0.391,0.19,131.1,11.01
-8,2015/6/24,2:12:56,-0.083,24.19,0.396,0.39,0.19,131,10.97
-8,2015/6/24,2:12:56,-0.115,24.29,0.395,0.39,0.19,123.2,10.3
-8,2015/6/24,2:12:57,-0.179,24.38,0.394,0.389,0.19,123.1,10.28
-8,2015/6/24,2:12:57,-0.207,24.45,0.396,0.392,0.19,123,10.25
-8,2015/6/24,2:12:58,-0.251,24.51,0.393,0.389,0.19,122.9,10.24
-8,2015/6/24,2:12:58,-0.294,24.55,0.392,0.389,0.19,122.8,10.22
-8,2015/6/24,2:12:59,-0.335,24.59,0.391,0.388,0.19,122.8,10.21
-8,2015/6/24,2:12:59,-0.373,24.62,0.391,0.388,0.19,122.7,10.2
-8,2015/6/24,2:13:00,-0.405,24.64,0.391,0.388,0.19,122.7,10.2
-8,2015/6/24,2:13:00,-0.451,24.66,0.389,0.387,0.19,114.9,9.54
-8,2015/6/24,2:13:01,-0.478,24.68,0.39,0.388,0.19,114.9,9.54
-8,2015/6/24,2:13:01,-0.523,24.68,0.391,0.389,0.19,114.9,9.54
-8,2015/6/24,2:13:02,-0.546,24.67,0.389,0.386,0.19,114.9,9.54
-8,2015/6/24,2:13:02,-0.583,24.65,0.389,0.386,0.19,114.9,9.55
-8,2015/6/24,2:13:03,-0.631,24.62,0.388,0.385,0.18,114.9,9.56
-8,2015/6/24,2:13:03,-0.674,24.59,0.387,0.384,0.18,115,9.56
-8,2015/6/24,2:13:04,-0.704,24.55,0.388,0.384,0.18,115,9.57
-8,2015/6/24,2:13:04,-0.737,24.52,0.387,0.384,0.18,110.4,9.19
-8,2015/6/24,2:13:05,-0.762,24.48,0.388,0.384,0.18,110.4,9.2
-8,2015/6/24,2:13:05,-0.789,24.45,0.39,0.386,0.19,110.5,9.21
