days,date,time ,depth,temp,spCond,Cond,Salinity,DO%,DO.Conc
-8,2015/6/24,1:52:32,-0.034,23.54,0.352,0.342,0.17,115.2,9.78
-8,2015/6/24,1:52:33,-0.097,23.63,0.351,0.342,0.17,115.1,9.75
-8,2015/6/24,1:52:33,-0.13,23.72,0.351,0.343,0.17,115,9.73
-8,2015/6/24,1:52:34,-0.195,23.79,0.35,0.342,0.17,116.6,9.84
-8,2015/6/24,1:52:35,-0.236,23.91,0.35,0.342,0.17,116.4,9.81
-8,2015/6/24,1:52:35,-0.264,23.96,0.349,0.342,0.17,116.3,9.79
-8,2015/6/24,1:52:36,-0.297,24,0.348,0.341,0.17,116.3,9.78
-8,2015/6/24,1:52:36,-0.305,24.03,0.348,0.342,0.17,116.3,9.77
-8,2015/6/24,1:52:37,-0.365,24.09,0.347,0.341,0.17,116.2,9.75
-8,2015/6/24,1:52:38,-0.406,24.11,0.347,0.341,0.17,116,9.74
-8,2015/6/24,1:52:38,-0.431,24.13,0.347,0.341,0.16,116,9.73
-8,2015/6/24,1:52:39,-0.449,24.14,0.346,0.34,0.16,116,9.73
-8,2015/6/24,1:52:39,-0.489,24.16,0.346,0.34,0.16,116,9.73
-8,2015/6/24,1:52:40,-0.528,24.17,0.346,0.341,0.16,116,9.72
-8,2015/6/24,1:52:40,-0.564,24.18,0.346,0.34,0.16,116,9.72
-8,2015/6/24,1:52:41,-0.614,24.18,0.345,0.34,0.16,116,9.72
-8,2015/6/24,1:52:41,-0.697,24.18,0.345,0.34,0.16,115.9,9.72
-8,2015/6/24,1:52:42,-0.724,24.18,0.345,0.34,0.16,117.3,9.83
-8,2015/6/24,1:52:42,-0.77,24.18,0.345,0.339,0.16,117.3,9.83
-8,2015/6/24,1:52:43,-0.813,24.17,0.345,0.339,0.16,117.3,9.84
-8,2015/6/24,1:52:43,-0.847,24.17,0.343,0.337,0.16,117.3,9.84
-8,2015/6/24,1:52:44,-0.849,24.16,0.344,0.338,0.16,117.3,9.84
-8,2015/6/24,1:52:44,-0.876,24.15,0.344,0.338,0.16,117.4,9.84
-8,2015/6/24,1:52:45,-0.948,24.15,0.342,0.336,0.16,117.4,9.84
-8,2015/6/24,1:52:45,-0.999,24.14,0.342,0.336,0.16,117.4,9.85
-8,2015/6/24,1:52:46,-1.011,24.13,0.342,0.337,0.16,119,9.98
-8,2015/6/24,1:52:46,-1.015,24.14,0.341,0.336,0.16,119,9.98
8,2015/7/10,0:27:14,0.042,25.02,0.325,0.325,0.15,,
8,2015/7/10,0:27:15,0.047,24.67,0.326,0.324,0.15,,
8,2015/7/10,0:27:16,0.025,24.52,0.325,0.322,0.15,,
8,2015/7/10,0:27:17,-0.005,24.28,0.324,0.32,0.15,,
8,2015/7/10,0:27:18,-0.069,24.1,0.324,0.318,0.15,,
8,2015/7/10,0:27:19,-0.138,23.89,0.323,0.316,0.15,,
8,2015/7/10,0:27:20,-0.216,23.67,0.322,0.314,0.15,,
8,2015/7/10,0:27:21,-0.296,23.46,0.323,0.313,0.15,,
8,2015/7/10,0:27:22,-0.381,23.28,0.321,0.311,0.15,,
8,2015/7/10,0:27:23,-0.436,23.14,0.322,0.311,0.15,,
8,2015/7/10,0:27:24,-0.483,23.01,0.323,0.31,0.15,,
