days,date,time ,depth,temp,spCond,Cond,Salinity,DO%,DO.Conc
-8,2015/6/24,2:23:43,-0.009,23.92,0.451,0.442,0.22,107.7,9.07
-8,2015/6/24,2:23:44,-0.043,24.01,0.456,0.447,0.22,107.6,9.04
-8,2015/6/24,2:23:44,-0.068,24.09,0.455,0.447,0.22,107.5,9.02
-8,2015/6/24,2:23:45,-0.113,24.16,0.454,0.447,0.22,107.4,9
-8,2015/6/24,2:23:46,-0.164,24.27,0.453,0.446,0.22,107.3,8.98
-8,2015/6/24,2:23:46,-0.184,24.31,0.452,0.446,0.22,103.8,8.68
-8,2015/6/24,2:23:47,-0.197,24.35,0.452,0.446,0.22,103.8,8.67
-8,2015/6/24,2:23:47,-0.243,24.38,0.447,0.442,0.21,103.7,8.66
-8,2015/6/24,2:23:48,-0.305,24.43,0.45,0.445,0.22,103.7,8.65
-8,2015/6/24,2:23:49,-0.347,24.44,0.45,0.445,0.22,103.7,8.64
-8,2015/6/24,2:23:49,-0.352,24.45,0.45,0.445,0.22,103.6,8.64
-8,2015/6/24,2:23:50,-0.413,24.46,0.45,0.445,0.22,103.6,8.64
-8,2015/6/24,2:23:51,-0.499,24.45,0.449,0.444,0.21,100.7,8.39
-8,2015/6/24,2:23:51,-0.517,24.44,0.445,0.44,0.21,100.7,8.4
-8,2015/6/24,2:23:52,-0.554,24.43,0.449,0.444,0.22,100.7,8.4
-8,2015/6/24,2:23:52,-0.629,24.42,0.447,0.442,0.21,100.7,8.4
-8,2015/6/24,2:23:53,-0.689,24.41,0.448,0.442,0.21,100.7,8.41
-8,2015/6/24,2:23:53,-0.724,24.39,0.448,0.443,0.21,100.7,8.41
-8,2015/6/24,2:23:54,-0.724,24.37,0.448,0.442,0.21,100.8,8.42
-8,2015/6/24,2:23:54,-0.75,24.35,0.447,0.442,0.21,98.8,8.26
-8,2015/6/24,2:23:55,-0.828,24.33,0.446,0.44,0.21,98.8,8.26
-8,2015/6/24,2:23:55,-0.858,24.3,0.443,0.437,0.21,98.9,8.27
-8,2015/6/24,2:23:56,-0.861,24.27,0.447,0.44,0.21,98.9,8.27
-8,2015/6/24,2:23:56,-0.897,24.25,0.447,0.441,0.21,98.9,8.28
-8,2015/6/24,2:23:57,-0.955,24.22,0.446,0.44,0.21,99,8.29
-8,2015/6/24,2:23:57,-1.006,24.19,0.446,0.439,0.21,99,8.29
-8,2015/6/24,2:23:58,-1.064,24.16,0.446,0.439,0.21,99,8.3
-8,2015/6/24,2:23:58,-1.063,24.13,0.446,0.439,0.21,97.4,8.17
-8,2015/6/24,2:23:59,-1.113,24.1,0.446,0.438,0.21,97.4,8.18
-8,2015/6/24,2:23:59,-1.15,24.07,0.438,0.43,0.21,97.5,8.18
8,2015/7/10,2:30:39,-0.021,24.2,0.429,0.422,0.21,,
8,2015/7/10,2:30:40,-0.107,24.18,0.425,0.419,0.2,,
8,2015/7/10,2:30:41,-0.195,24.02,0.423,0.415,0.2,,
8,2015/7/10,2:30:42,-0.23,23.83,0.423,0.413,0.2,,
8,2015/7/10,2:30:43,-0.317,23.62,0.418,0.407,0.2,,
8,2015/7/10,2:30:44,-0.494,23.36,0.416,0.403,0.2,,
8,2015/7/10,2:30:45,-0.56,23.09,0.417,0.401,0.2,,
8,2015/7/10,2:30:46,-0.706,22.84,0.416,0.399,0.2,,
8,2015/7/10,2:30:47,-0.841,22.59,0.418,0.399,0.2,,
8,2015/7/10,2:30:48,-1.053,22.37,0.418,0.397,0.2,,
8,2015/7/10,2:30:49,-1.035,22.17,0.419,0.397,0.2,,
8,2015/7/10,2:30:50,-1.032,22.01,0.42,0.396,0.2,,
8,2015/7/10,2:30:51,-1.09,21.87,0.421,0.395,0.2,,
8,2015/7/10,2:30:52,-1.146,21.76,0.423,0.396,0.2,,
8,2015/7/10,2:30:53,-1.25,21.66,0.423,0.396,0.2,,
8,2015/7/10,2:30:54,-1.34,21.58,0.425,0.397,0.2,,
8,2015/7/10,2:30:55,-1.448,21.5,0.439,0.409,0.21,,
8,2015/7/10,2:30:56,-1.447,21.41,0.441,0.41,0.21,,
8,2015/7/10,2:30:57,-1.507,21.32,0.458,0.426,0.22,,
8,2015/7/10,2:30:58,-1.54,21.22,0.468,0.435,0.23,,
8,2015/7/10,2:30:59,-1.553,21.12,0.472,0.437,0.23,,
8,2015/7/10,2:31:00,-1.552,21.04,0.473,0.437,0.23,,
23,2015/7/25,10:08:54,-0.039,22.55,0.431,0.411,0.21,88.6,7.66
23,2015/7/25,10:08:55,-0.063,22.52,0.431,0.41,0.21,88.6,7.67
23,2015/7/25,10:08:55,-0.086,22.5,0.431,0.41,0.21,86.9,7.52
23,2015/7/25,10:08:56,-0.131,22.49,0.43,0.41,0.21,86.9,7.52
23,2015/7/25,10:08:56,-0.247,22.46,0.422,0.401,0.2,86.9,7.53
23,2015/7/25,10:08:57,-0.222,22.44,0.43,0.409,0.21,86.9,7.53
23,2015/7/25,10:08:58,-0.327,22.4,0.429,0.408,0.21,87,7.54
23,2015/7/25,10:08:58,-0.39,22.38,0.429,0.407,0.21,87,7.55
23,2015/7/25,10:08:59,-0.515,22.35,0.429,0.407,0.21,87,7.55
23,2015/7/25,10:09:00,-0.561,22.28,0.423,0.401,0.2,83,7.21
23,2015/7/25,10:09:01,-0.598,22.25,0.429,0.406,0.21,83,7.22
23,2015/7/25,10:09:01,-0.634,22.24,0.43,0.407,0.21,83,7.22
23,2015/7/25,10:09:02,-0.671,22.22,0.43,0.407,0.21,83.1,7.22
23,2015/7/25,10:09:02,-0.692,22.2,0.43,0.407,0.21,83.1,7.23
23,2015/7/25,10:09:03,-0.697,22.18,0.429,0.406,0.21,83.1,7.23
23,2015/7/25,10:09:03,-0.769,22.16,0.43,0.406,0.21,80.5,7.01
23,2015/7/25,10:09:04,-0.919,22.14,0.429,0.406,0.21,80.6,7.02
23,2015/7/25,10:09:04,-1.209,22.12,0.423,0.4,0.2,80.6,7.02
23,2015/7/25,10:09:05,-1.384,22.1,0.43,0.406,0.21,80.6,7.02
23,2015/7/25,10:09:05,-1.444,22.08,0.431,0.407,0.21,80.6,7.03
23,2015/7/25,10:09:06,-1.486,22.04,0.432,0.407,0.21,80.6,7.04
23,2015/7/25,10:09:06,-1.509,22.01,0.433,0.408,0.21,80.7,7.05
23,2015/7/25,10:09:07,-1.515,21.96,0.439,0.413,0.21,80.7,7.05
32,2015/8/3,9:15:09,0.13,23.61,0.437,0.426,0.21,82.6,7
