days,date,time ,depth,temp,spCond,Cond,Salinity,DO%,DO.Conc
-8,2015/6/24,1:55:10,-0.016,23.4,0.417,0.404,0.2,109.5,9.32
-8,2015/6/24,1:55:10,-0.048,23.54,0.417,0.405,0.2,109.4,9.28
-8,2015/6/24,1:55:11,-0.071,23.66,0.415,0.405,0.2,109.2,9.24
-8,2015/6/24,1:55:11,-0.103,23.76,0.415,0.405,0.2,109.1,9.22
-8,2015/6/24,1:55:12,-0.121,23.86,0.414,0.405,0.2,106.6,8.99
-8,2015/6/24,1:55:12,-0.127,23.94,0.413,0.405,0.2,106.5,8.96
-8,2015/6/24,1:55:13,-0.156,24.01,0.413,0.405,0.2,106.4,8.95
-8,2015/6/24,1:55:13,-0.177,24.07,0.413,0.406,0.2,106.3,8.93
-8,2015/6/24,1:55:14,-0.205,24.13,0.413,0.406,0.2,106.3,8.92
-8,2015/6/24,1:55:15,-0.236,24.22,0.412,0.406,0.2,106.2,8.89
-8,2015/6/24,1:55:15,-0.267,24.26,0.411,0.405,0.2,106.1,8.88
-8,2015/6/24,1:55:16,-0.303,24.29,0.411,0.405,0.2,102.9,8.61
-8,2015/6/24,1:55:16,-0.331,24.32,0.411,0.406,0.2,102.9,8.6
-8,2015/6/24,1:55:17,-0.414,24.35,0.411,0.405,0.2,102.8,8.59
-8,2015/6/24,1:55:18,-0.455,24.36,0.411,0.406,0.2,102.8,8.59
-8,2015/6/24,1:55:18,-0.496,24.36,0.41,0.405,0.2,102.8,8.59
-8,2015/6/24,1:55:19,-0.528,24.35,0.409,0.404,0.2,102.8,8.59
-8,2015/6/24,1:55:20,-0.608,24.31,0.409,0.404,0.2,99.4,8.31
-8,2015/6/24,1:55:20,-0.655,24.28,0.409,0.404,0.2,99.4,8.32
-8,2015/6/24,1:55:21,-0.69,24.25,0.41,0.404,0.2,99.5,8.33
-8,2015/6/24,1:55:21,-0.725,24.22,0.409,0.403,0.2,99.5,8.33
-8,2015/6/24,1:55:22,-0.78,24.18,0.408,0.402,0.19,99.5,8.34
-8,2015/6/24,1:55:22,-0.827,24.15,0.408,0.401,0.19,99.6,8.35
-8,2015/6/24,1:55:23,-0.87,24.11,0.408,0.401,0.19,99.6,8.36
