strain,rep,treat.env,treat.bio,mixID,dilution,AA.mM,sucrose,timepoint,count,exp,validity,notes
Mr,1,constant,mono,Mr,50,2.105,50,480,312,comp1,YES,
Mr,2,constant,mono,Mr,50,2.105,50,480,164,comp1,YES,
Mr,3,constant,mono,Mr,50,2.105,50,480,268,comp1,YES,
Mr,4,constant,mono,Mr,50,2.105,50,480,328,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,10,480,816,comp1,YES,
Mk,2,constant,mono,Mk,50,2.105,10,480,1904,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,10,480,1416,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,10,480,800,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,30,480,672,comp1,YES,
Mk,2,constant,mono,Mk,50,2.105,30,480,744,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,30,480,872,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,30,480,696,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,50,480,0,comp1,YES,
Mk,2,constant,mono,Mk,50,2.105,50,480,0,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,50,480,1608,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,50,480,264,comp1,YES,
Mg,1,constant,mono,Mg,50,2.105,10,480,76,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,10,480,101,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,10,480,224,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,10,480,126,comp1,YES,lots of contamination
Mg,1,constant,mono,Mg,50,2.105,30,480,78,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,30,480,122,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,30,480,118,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,30,480,250,comp1,YES,
Mg,1,constant,mono,Mg,50,2.105,50,480,0,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,50,480,0,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,50,480,0,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,50,480,0,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,10,480,,comp1,NO,
Sb,2,constant,mono,Sb,50,2.105,10,480,0,comp1,YES,still contaminated
Sb,3,constant,mono,Sb,50,2.105,10,480,3456,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,10,480,2464,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,30,480,5776,comp1,YES,
Sb,2,constant,mono,Sb,50,2.105,30,480,5312,comp1,YES,
Sb,3,constant,mono,Sb,50,2.105,30,480,3664,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,30,480,3744,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,50,480,0,comp1,YES,
Sb,2,constant,mono,Sb,50,2.105,50,480,0,comp1,YES,
Sb,3,constant,mono,Sb,50,2.105,50,480,0,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,50,480,0,comp1,YES,
Mr,1,variable,comp,Mr.Mk,50,2.105,50,480,268,comp1,YES,
Mk,1,variable,comp,Mr.Mk,50,2.105,50,480,44,comp1,YES,
Mr,2,variable,comp,Mr.Mk,50,2.105,50,480,380,comp1,YES,
Mk,2,variable,comp,Mr.Mk,50,2.105,50,480,164,comp1,YES,
Mr,3,variable,comp,Mr.Mk,50,2.105,50,480,388,comp1,YES,
Mk,3,variable,comp,Mr.Mk,50,2.105,50,480,324,comp1,YES,
Mr,4,variable,comp,Mr.Mk,50,2.105,50,480,0,comp1,YES,
Mk,4,variable,comp,Mr.Mk,50,2.105,50,480,468,comp1,YES,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
,,variable,,,50,2.105,50,480,,comp1,NO,
Mg,1,variable,comp,Mg.Sb,50,2.105,50,480,32,comp1,YES,
Sb,1,variable,comp,Mg.Sb,50,2.105,50,480,0,comp1,YES,
Mg,2,variable,comp,Mg.Sb,50,2.105,50,480,8,comp1,YES,
Sb,2,variable,comp,Mg.Sb,50,2.105,50,480,0,comp1,YES,
Mg,3,variable,comp,Mg.Sb,50,2.105,50,480,27,comp1,YES,
Sb,3,variable,comp,Mg.Sb,50,2.105,50,480,0,comp1,YES,
Mg,4,variable,comp,Mg.Sb,50,2.105,50,480,24,comp1,YES,
Sb,4,variable,comp,Mg.Sb,50,2.105,50,480,0,comp1,YES,
Mg,1,variable,mono,Mg,50,2.105,50,480,56,comp1,YES,
Mg,2,variable,mono,Mg,50,2.105,50,480,300,comp1,YES,
Mg,3,variable,mono,Mg,50,2.105,50,480,18,comp1,YES,
Mg,4,variable,mono,Mg,50,2.105,50,480,14,comp1,YES,
Sb,1,variable,mono,Sb,50,2.105,50,480,1632,comp1,YES,
Sb,2,variable,mono,Sb,50,2.105,50,480,592,comp1,YES,
Sb,3,variable,mono,Sb,50,2.105,50,480,928,comp1,YES,
Sb,4,variable,mono,Sb,50,2.105,50,480,1120,comp1,YES,
Mr,1,constant,comp,Mr.Mk,50,2.105,10,528,0,comp1,YES,
Mk,1,constant,comp,Mr.Mk,50,2.105,10,528,1456,comp1,YES,
Mr,2,constant,comp,Mr.Mk,50,2.105,10,528,0,comp1,YES,
Mk,2,constant,comp,Mr.Mk,50,2.105,10,528,1152,comp1,YES,
Mr,3,constant,comp,Mr.Mk,50,2.105,10,528,0,comp1,YES,
Mk,3,constant,comp,Mr.Mk,50,2.105,10,528,3216,comp1,YES,
Mr,4,constant,comp,Mr.Mk,50,2.105,10,528,0,comp1,YES,
Mk,4,constant,comp,Mr.Mk,50,2.105,10,528,1680,comp1,YES,
Mr,1,constant,comp,Mr.Mk,50,2.105,30,528,0,comp1,YES,
Mk,1,constant,comp,Mr.Mk,50,2.105,30,528,2144,comp1,YES,
Mr,2,constant,comp,Mr.Mk,50,2.105,30,528,0,comp1,YES,
Mk,2,constant,comp,Mr.Mk,50,2.105,30,528,1632,comp1,YES,
Mr,3,constant,comp,Mr.Mk,50,2.105,30,528,0,comp1,YES,
Mk,3,constant,comp,Mr.Mk,50,2.105,30,528,3312,comp1,YES,
Mr,4,constant,comp,Mr.Mk,50,2.105,30,528,0,comp1,YES,
Mk,4,constant,comp,Mr.Mk,50,2.105,30,528,6048,comp1,YES,
Mr,1,constant,comp,Mr.Mk,50,2.105,50,528,1488,comp1,YES,
Mk,1,constant,comp,Mr.Mk,50,2.105,50,528,1008,comp1,YES,
Mr,2,constant,comp,Mr.Mk,50,2.105,50,528,80,comp1,YES,
Mk,2,constant,comp,Mr.Mk,50,2.105,50,528,576,comp1,YES,
Mr,3,constant,comp,Mr.Mk,50,2.105,50,528,0,comp1,YES,
Mk,3,constant,comp,Mr.Mk,50,2.105,50,528,5888,comp1,YES,
Mr,4,constant,comp,Mr.Mk,50,2.105,50,528,400,comp1,YES,
Mk,4,constant,comp,Mr.Mk,50,2.105,50,528,7,comp1,YES,
Mg,1,constant,comp,Mg.Sb,50,2.105,10,528,258,comp1,YES,
Sb,1,constant,comp,Mg.Sb,50,2.105,10,528,0,comp1,YES,
Mg,2,constant,comp,Mg.Sb,50,2.105,10,528,168,comp1,YES,
Sb,2,constant,comp,Mg.Sb,50,2.105,10,528,0,comp1,YES,
Mg,3,constant,comp,Mg.Sb,50,2.105,10,528,180,comp1,YES,
Sb,3,constant,comp,Mg.Sb,50,2.105,10,528,0,comp1,YES,
Mg,4,constant,comp,Mg.Sb,50,2.105,10,528,332,comp1,YES,
Sb,4,constant,comp,Mg.Sb,50,2.105,10,528,0,comp1,YES,
Mg,1,constant,comp,Mg.Sb,50,2.105,30,528,164,comp1,YES,
Sb,1,constant,comp,Mg.Sb,50,2.105,30,528,1,comp1,YES,
Mg,2,constant,comp,Mg.Sb,50,2.105,30,528,224,comp1,YES,
Sb,2,constant,comp,Mg.Sb,50,2.105,30,528,6,comp1,YES,
Mg,3,constant,comp,Mg.Sb,50,2.105,30,528,284,comp1,YES,
Sb,3,constant,comp,Mg.Sb,50,2.105,30,528,0,comp1,YES,
Mg,4,constant,comp,Mg.Sb,50,2.105,30,528,200,comp1,YES,
Sb,4,constant,comp,Mg.Sb,50,2.105,30,528,0,comp1,YES,
Mg,1,constant,comp,Mg.Sb,50,2.105,50,528,0,comp1,YES,
Sb,1,constant,comp,Mg.Sb,50,2.105,50,528,0,comp1,YES,
Mg,2,constant,comp,Mg.Sb,50,2.105,50,528,0,comp1,YES,
Sb,2,constant,comp,Mg.Sb,50,2.105,50,528,0,comp1,YES,
Mg,3,constant,comp,Mg.Sb,50,2.105,50,528,0,comp1,YES,
Sb,3,constant,comp,Mg.Sb,50,2.105,50,528,0,comp1,YES,
Mg,4,constant,comp,Mg.Sb,50,2.105,50,528,0,comp1,YES,
Sb,4,constant,comp,Mg.Sb,50,2.105,50,528,0,comp1,YES,
Mr,1,constant,mono,Mr,50,2.105,10,528,160,comp1,YES,
Mr,2,constant,mono,Mr,50,2.105,10,528,300,comp1,YES,
Mr,3,constant,mono,Mr,50,2.105,10,528,196,comp1,YES,
Mr,4,constant,mono,Mr,50,2.105,10,528,,comp1,NO,
Mr,1,constant,mono,Mr,50,2.105,30,528,228,comp1,YES,
Mr,2,constant,mono,Mr,50,2.105,30,528,240,comp1,YES,
Mr,3,constant,mono,Mr,50,2.105,30,528,124,comp1,YES,
Mr,4,constant,mono,Mr,50,2.105,30,528,188,comp1,YES,
Mr,1,constant,mono,Mr,50,2.105,50,528,208,comp1,YES,
Mr,2,constant,mono,Mr,50,2.105,50,528,320,comp1,YES,
Mr,3,constant,mono,Mr,50,2.105,50,528,212,comp1,YES,
Mr,4,constant,mono,Mr,50,2.105,50,528,182,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,10,528,571,comp1,YES,failed plate so value taken as mean of other 3 reps
Mk,2,constant,mono,Mk,50,2.105,10,528,888,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,10,528,532,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,10,528,294,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,30,528,624,comp1,YES,
Mk,2,constant,mono,Mk,50,2.105,30,528,980,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,30,528,740,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,30,528,716,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,50,528,0,comp1,YES,
Mk,2,constant,mono,Mk,50,2.105,50,528,0,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,50,528,1936,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,50,528,1392,comp1,YES,
Mg,1,constant,mono,Mg,50,2.105,10,528,39,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,10,528,62,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,10,528,146,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,10,528,172,comp1,YES,
Mg,1,constant,mono,Mg,50,2.105,30,528,104,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,30,528,156,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,30,528,108,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,30,528,228,comp1,YES,
Mg,1,constant,mono,Mg,50,2.105,50,528,0,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,50,528,0,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,50,528,0,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,50,528,0,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,10,528,,comp1,NO,
Sb,2,constant,mono,Sb,50,2.105,10,528,,comp1,NO,
Sb,3,constant,mono,Sb,50,2.105,10,528,2056,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,10,528,1952,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,30,528,4064,comp1,YES,
Sb,2,constant,mono,Sb,50,2.105,30,528,3216,comp1,YES,
Sb,3,constant,mono,Sb,50,2.105,30,528,2400,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,30,528,2896,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,50,528,0,comp1,YES,
Sb,2,constant,mono,Sb,50,2.105,50,528,0,comp1,YES,
Sb,3,constant,mono,Sb,50,2.105,50,528,0,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,50,528,0,comp1,YES,
Mr,1,variable,comp,Mr.Mk,50,2.105,10,528,27,comp1,YES,
Mk,1,variable,comp,Mr.Mk,50,2.105,10,528,16,comp1,YES,
Mr,2,variable,comp,Mr.Mk,50,2.105,10,528,16,comp1,YES,
Mk,2,variable,comp,Mr.Mk,50,2.105,10,528,27,comp1,YES,
Mr,3,variable,comp,Mr.Mk,50,2.105,10,528,18,comp1,YES,
Mk,3,variable,comp,Mr.Mk,50,2.105,10,528,94,comp1,YES,
Mr,4,variable,comp,Mr.Mk,50,2.105,10,528,0,comp1,YES,
Mk,4,variable,comp,Mr.Mk,50,2.105,10,528,106,comp1,YES,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
,,variable,,,50,2.105,10,528,,comp1,NO,
Mg,1,variable,comp,Mg.Sb,50,2.105,10,528,88,comp1,YES,
Sb,1,variable,comp,Mg.Sb,50,2.105,10,528,0,comp1,YES,
Mg,2,variable,comp,Mg.Sb,50,2.105,10,528,23,comp1,YES,
Sb,2,variable,comp,Mg.Sb,50,2.105,10,528,0,comp1,YES,
Mg,3,variable,comp,Mg.Sb,50,2.105,10,528,66,comp1,YES,
Sb,3,variable,comp,Mg.Sb,50,2.105,10,528,0,comp1,YES,
Mg,4,variable,comp,Mg.Sb,50,2.105,10,528,56,comp1,YES,
Sb,4,variable,comp,Mg.Sb,50,2.105,10,528,0,comp1,YES,
Mg,1,variable,mono,Mg,50,2.105,10,528,61,comp1,YES,
Mg,2,variable,mono,Mg,50,2.105,10,528,328,comp1,YES,
Mg,3,variable,mono,Mg,50,2.105,10,528,28,comp1,YES,
Mg,4,variable,mono,Mg,50,2.105,10,528,73,comp1,YES,
Sb,1,variable,mono,Sb,50,2.105,10,528,3120,comp1,YES,
Sb,2,variable,mono,Sb,50,2.105,10,528,1808,comp1,YES,
Sb,3,variable,mono,Sb,50,2.105,10,528,3296,comp1,YES,
Sb,4,variable,mono,Sb,50,2.105,10,528,3088,comp1,YES,
Mr,1,constant,comp,Mr.Mk,50,2.105,10,576,0,comp1,YES,
Mk,1,constant,comp,Mr.Mk,50,2.105,10,576,1552,comp1,YES,
Mr,2,constant,comp,Mr.Mk,50,2.105,10,576,0,comp1,YES,
Mk,2,constant,comp,Mr.Mk,50,2.105,10,576,488,comp1,YES,
Mr,3,constant,comp,Mr.Mk,50,2.105,10,576,0,comp1,YES,
Mk,3,constant,comp,Mr.Mk,50,2.105,10,576,1984,comp1,YES,
Mr,4,constant,comp,Mr.Mk,50,2.105,10,576,0,comp1,YES,
Mk,4,constant,comp,Mr.Mk,50,2.105,10,576,1040,comp1,YES,
Mr,1,constant,comp,Mr.Mk,50,2.105,30,576,0,comp1,YES,
Mk,1,constant,comp,Mr.Mk,50,2.105,30,576,688,comp1,YES,
Mr,2,constant,comp,Mr.Mk,50,2.105,30,576,0,comp1,YES,
Mk,2,constant,comp,Mr.Mk,50,2.105,30,576,736,comp1,YES,
Mr,3,constant,comp,Mr.Mk,50,2.105,30,576,0,comp1,YES,
Mk,3,constant,comp,Mr.Mk,50,2.105,30,576,1840,comp1,YES,
Mr,4,constant,comp,Mr.Mk,50,2.105,30,576,0,comp1,YES,
Mk,4,constant,comp,Mr.Mk,50,2.105,30,576,3104,comp1,YES,
Mr,1,constant,comp,Mr.Mk,50,2.105,50,576,424,comp1,YES,
Mk,1,constant,comp,Mr.Mk,50,2.105,50,576,84,comp1,YES,
Mr,2,constant,comp,Mr.Mk,50,2.105,50,576,20,comp1,YES,
Mk,2,constant,comp,Mr.Mk,50,2.105,50,576,428,comp1,YES,
Mr,3,constant,comp,Mr.Mk,50,2.105,50,576,0,comp1,YES,
Mk,3,constant,comp,Mr.Mk,50,2.105,50,576,5632,comp1,YES,
Mr,4,constant,comp,Mr.Mk,50,2.105,50,576,108,comp1,YES,
Mk,4,constant,comp,Mr.Mk,50,2.105,50,576,18,comp1,YES,
Mg,1,constant,comp,Mg.Sb,50,2.105,10,576,260,comp1,YES,
Sb,1,constant,comp,Mg.Sb,50,2.105,10,576,0,comp1,YES,
Mg,2,constant,comp,Mg.Sb,50,2.105,10,576,180,comp1,YES,
Sb,2,constant,comp,Mg.Sb,50,2.105,10,576,0,comp1,YES,
Mg,3,constant,comp,Mg.Sb,50,2.105,10,576,260,comp1,YES,
Sb,3,constant,comp,Mg.Sb,50,2.105,10,576,0,comp1,YES,
Mg,4,constant,comp,Mg.Sb,50,2.105,10,576,292,comp1,YES,
Sb,4,constant,comp,Mg.Sb,50,2.105,10,576,0,comp1,YES,
Mg,1,constant,comp,Mg.Sb,50,2.105,30,576,132,comp1,YES,
Sb,1,constant,comp,Mg.Sb,50,2.105,30,576,0,comp1,YES,
Mg,2,constant,comp,Mg.Sb,50,2.105,30,576,144,comp1,YES,
Sb,2,constant,comp,Mg.Sb,50,2.105,30,576,6,comp1,YES,
Mg,3,constant,comp,Mg.Sb,50,2.105,30,576,288,comp1,YES,
Sb,3,constant,comp,Mg.Sb,50,2.105,30,576,0,comp1,YES,
Mg,4,constant,comp,Mg.Sb,50,2.105,30,576,148,comp1,YES,
Sb,4,constant,comp,Mg.Sb,50,2.105,30,576,0,comp1,YES,
Mg,1,constant,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Sb,1,constant,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Mg,2,constant,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Sb,2,constant,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Mg,3,constant,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Sb,3,constant,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Mg,4,constant,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Sb,4,constant,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Mr,1,constant,mono,Mr,50,2.105,10,576,148,comp1,YES,
Mr,2,constant,mono,Mr,50,2.105,10,576,53,comp1,YES,
Mr,3,constant,mono,Mr,50,2.105,10,576,62,comp1,YES,
Mr,4,constant,mono,Mr,50,2.105,10,576,,comp1,NO,
Mr,1,constant,mono,Mr,50,2.105,30,576,230,comp1,YES,
Mr,2,constant,mono,Mr,50,2.105,30,576,96,comp1,YES,
Mr,3,constant,mono,Mr,50,2.105,30,576,77,comp1,YES,
Mr,4,constant,mono,Mr,50,2.105,30,576,116,comp1,YES,
Mr,1,constant,mono,Mr,50,2.105,50,576,84,comp1,YES,
Mr,2,constant,mono,Mr,50,2.105,50,576,85,comp1,YES,
Mr,3,constant,mono,Mr,50,2.105,50,576,87,comp1,YES,
Mr,4,constant,mono,Mr,50,2.105,50,576,93,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,10,576,1116,comp1,YES,
Mk,2,constant,mono,Mk,50,2.105,10,576,944,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,10,576,640,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,10,576,240,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,30,576,1008,comp1,YES,
Mk,2,constant,mono,Mk,50,2.105,30,576,648,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,30,576,792,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,30,576,988,comp1,YES,
Mk,1,constant,mono,Mk,50,2.105,50,576,0,comp1,YES,
Mk,2,constant,mono,Mk,50,2.105,50,576,0,comp1,YES,
Mk,3,constant,mono,Mk,50,2.105,50,576,3040,comp1,YES,
Mk,4,constant,mono,Mk,50,2.105,50,576,680,comp1,YES,
Mg,1,constant,mono,Mg,50,2.105,10,576,63,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,10,576,51,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,10,576,88,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,10,576,152,comp1,YES,
Mg,1,constant,mono,Mg,50,2.105,30,576,87,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,30,576,122,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,30,576,107,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,30,576,150,comp1,YES,
Mg,1,constant,mono,Mg,50,2.105,50,576,0,comp1,YES,
Mg,2,constant,mono,Mg,50,2.105,50,576,0,comp1,YES,
Mg,3,constant,mono,Mg,50,2.105,50,576,0,comp1,YES,
Mg,4,constant,mono,Mg,50,2.105,50,576,0,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,10,576,,comp1,NO,
Sb,2,constant,mono,Sb,50,2.105,10,576,,comp1,NO,
Sb,3,constant,mono,Sb,50,2.105,10,576,1504,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,10,576,1792,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,30,576,1712,comp1,YES,
Sb,2,constant,mono,Sb,50,2.105,30,576,1696,comp1,YES,
Sb,3,constant,mono,Sb,50,2.105,30,576,2384,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,30,576,1616,comp1,YES,
Sb,1,constant,mono,Sb,50,2.105,50,576,0,comp1,YES,
Sb,2,constant,mono,Sb,50,2.105,50,576,0,comp1,YES,
Sb,3,constant,mono,Sb,50,2.105,50,576,0,comp1,YES,
Sb,4,constant,mono,Sb,50,2.105,50,576,0,comp1,YES,
Mr,1,variable,comp,Mr.Mk,50,2.105,50,576,164,comp1,YES,
Mk,1,variable,comp,Mr.Mk,50,2.105,50,576,144,comp1,YES,
Mr,2,variable,comp,Mr.Mk,50,2.105,50,576,132,comp1,YES,
Mk,2,variable,comp,Mr.Mk,50,2.105,50,576,180,comp1,YES,
Mr,3,variable,comp,Mr.Mk,50,2.105,50,576,160,comp1,YES,
Mk,3,variable,comp,Mr.Mk,50,2.105,50,576,1392,comp1,YES,
Mr,4,variable,comp,Mr.Mk,50,2.105,50,576,0,comp1,YES,
Mk,4,variable,comp,Mr.Mk,50,2.105,50,576,752,comp1,YES,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
,,variable,,,50,2.105,50,576,,comp1,NO,
Mg,1,variable,comp,Mg.Sb,50,2.105,50,576,12,comp1,YES,
Sb,1,variable,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Mg,2,variable,comp,Mg.Sb,50,2.105,50,576,6,comp1,YES,
Sb,2,variable,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Mg,3,variable,comp,Mg.Sb,50,2.105,50,576,13,comp1,YES,
Sb,3,variable,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Mg,4,variable,comp,Mg.Sb,50,2.105,50,576,11,comp1,YES,
Sb,4,variable,comp,Mg.Sb,50,2.105,50,576,0,comp1,YES,
Mg,1,variable,mono,Mg,50,2.105,50,576,7,comp1,YES,
Mg,2,variable,mono,Mg,50,2.105,50,576,66,comp1,YES,
Mg,3,variable,mono,Mg,50,2.105,50,576,17,comp1,YES,
Mg,4,variable,mono,Mg,50,2.105,50,576,16,comp1,YES,
Sb,1,variable,mono,Sb,50,2.105,50,576,784,comp1,YES,
Sb,2,variable,mono,Sb,50,2.105,50,576,656,comp1,YES,
Sb,3,variable,mono,Sb,50,2.105,50,576,736,comp1,YES,
Sb,4,variable,mono,Sb,50,2.105,50,576,624,comp1,YES,
Mr,1,init,mono,,10,,,0,4,comp2,YES,
Mr,2,init,mono,,10,,,0,7,comp2,YES,
Mr,3,init,mono,,10,,,0,9,comp2,YES,
Mr,4,init,mono,,10,,,0,3,comp2,YES,
Mk,1,init,mono,,10,,,0,4,comp2,YES,
Mk,2,init,mono,,10,,,0,9,comp2,YES,
Mk,3,init,mono,,10,,,0,7,comp2,YES,
Mk,4,init,mono,,10,,,0,7,comp2,YES,
Mg,1,init,mono,,10,,,0,4,comp2,YES,
Mg,2,init,mono,,10,,,0,3,comp2,YES,
Mg,3,init,mono,,10,,,0,1,comp2,YES,
Mg,4,init,mono,,10,,,0,2,comp2,YES,
Sb,1,init,mono,,10,,,0,53,comp2,YES,
Sb,2,init,mono,,10,,,0,71,comp2,YES,
Sb,3,init,mono,,10,,,0,58,comp2,YES,
Sb,4,init,mono,,10,,,0,78,comp2,YES,
Mr,1,constant,comp,Mr.Sb,20,2.105,10,48,1608,comp2,YES,
Sb,1,constant,comp,Mr.Sb,20,2.105,10,48,96,comp2,YES,
Mr,2,constant,comp,Mr.Sb,20,2.105,10,48,1104,comp2,YES,
Sb,2,constant,comp,Mr.Sb,20,2.105,10,48,24,comp2,YES,
Mr,3,constant,comp,Mr.Sb,20,2.105,10,48,1032,comp2,YES,
Sb,3,constant,comp,Mr.Sb,20,2.105,10,48,18,comp2,YES,
Mr,4,constant,comp,Mr.Sb,20,2.105,10,48,1064,comp2,YES,
Sb,4,constant,comp,Mr.Sb,20,2.105,10,48,64,comp2,YES,
Mr,1,constant,comp,Mr.Sb,20,2.105,30,48,1128,comp2,YES,
Sb,1,constant,comp,Mr.Sb,20,2.105,30,48,80,comp2,YES,
Mr,2,constant,comp,Mr.Sb,20,2.105,30,48,2352,comp2,YES,
Sb,2,constant,comp,Mr.Sb,20,2.105,30,48,48,comp2,YES,
Mr,3,constant,comp,Mr.Sb,20,2.105,30,48,1680,comp2,YES,
Sb,3,constant,comp,Mr.Sb,20,2.105,30,48,48,comp2,YES,
Mr,4,constant,comp,Mr.Sb,20,2.105,30,48,832,comp2,YES,
Sb,4,constant,comp,Mr.Sb,20,2.105,30,48,64,comp2,YES,
Mr,1,constant,comp,Mr.Sb,20,2.105,50,48,1128,comp2,YES,
Sb,1,constant,comp,Mr.Sb,20,2.105,50,48,6,comp2,YES,
Mr,2,constant,comp,Mr.Sb,20,2.105,50,48,1744,comp2,YES,
Sb,2,constant,comp,Mr.Sb,20,2.105,50,48,16,comp2,YES,
Mr,3,constant,comp,Mr.Sb,20,2.105,50,48,1944,comp2,YES,
Sb,3,constant,comp,Mr.Sb,20,2.105,50,48,8,comp2,YES,
Mr,4,constant,comp,Mr.Sb,20,2.105,50,48,1448,comp2,YES,
Sb,4,constant,comp,Mr.Sb,20,2.105,50,48,20,comp2,YES,
Mg,1,constant,comp,Mg.Mk,20,2.105,10,48,0,comp2,YES,
