pond,2015/6/24,2015/7/10,2015/7/22,2015/8/3,2015/8/16,2015/8/27,2015/9/8,2015/9/21
202L,82.675,125.4375,94.47916667,104.6416667,233.2,127.6166667,90.6,109.7833333
219L,104.5541667,85.7875,148.1,149.7,151.2166667,116.0666667,67.88333333,84.78333333
204M,50.45416667,61.89166667,58.74166667,99.38333333,64.94166667,77.08333333,52.11666667,57.6
218M,84.20833333,105.8125,97.27916667,97.80833333,79.725,92.68333333,67.68333333,85.08333333
203H,72.12916667,490.9666667,254.1833333,131.1333333,291.05,246.2666667,207.0666667,198.6166667
217H,53.37083333,45.65,55.34583333,74.84166667,58.13333333,79.75,58.63333333,67.38333333
