pond,2015/6/24,2015/7/10,2015/7/22,2015/8/3,2015/8/16,2015/8/27,2015/9/8,2015/9/21
202L,1.576,1.634,2.751,1.434,1.275,2.368,1.847,2.14
219L,1.416,1.397,2.171,2.49,2.068,1.764,1.599,1.452
204M,0.918,1.213,2.53,1.767,1.747,1.64,0.994,1.48
218M,1.729,1.948,1.488,1.616,1.289,2.208,1.102,2.155
203H,1.133,2.252,1.828,1.157,1.301,2.095,1.765,2.784
217H,2.125,1.153,0.447,1.461,0.955,1.435,1.021,1.445
