Sample,Station,Date,Month,Latitude,Longitude,SST,SSS,Acartia (Acanthacartia) fossae,Acartia (Acanthacartia) sinjiensis,Acartia (Acanthacartia) tonsa,Acartia (Acartiura) clausi,Acartia (Acartiura) simplex,Acartia (Acartiura) tranteri,Acartia (Arcartia) danae,Acartia (Arcartia) negligens,Acartia (Odontacartia) australis,Acartia (Odontacartia) pacifica,Acartia (Odontacartia) pacifica mertoni,Acrocalanus gibber,Acrocalanus gracilis,Acrocalanus longicornis,Acrocalanus monachus,Aetideus acutus,Agetus flaccus,Agetus limbatus,Agetus typicus,Bestiolina similis,Calanoides carinatus,Calanopia aurivilli,Calanopia elliptica,Calanopia minor,Calanus australis,Calocalanus contractus,Calocalanus pavo,Calocalanus plumulosus,Calocalanus styleremis,Calocalanus styliremis,Calocalanus tenuis,Candacia bipinnata,Candacia bradyi,Candacia catula,Candacia cheirura,Candacia discaudata,Candacia ethiopica,Candacia simplex,Candacia truncata,Candacia worthingtoni,Canthocalanus pauper,Centropages australiensis,Centropages bradyi,Centropages furcatus,Centropages orsinii,Clausocalanus arcuicornis,Clausocalanus brevipes,Clausocalanus farrani/jobei,Clausocalanus furcatus,Clausocalanus ingens,Clausocalanus mastigophorus,Clausocalanus minor,Clausocalanus parapergens,Clausocalanus paululus,Clausocalanus pergens,Clytemnestra scutellata,Copilia hendorffi,Copilia mirabilis,Corycaeus clausi,Corycaeus crassiusculus,Corycaeus speciosus,Corycaeus vitreus,Cosmocalanus darwinii,Ctenocalanus vanus,Delibus nudus,Dioithona oculata,Ditrichocorycaeus andrewsi,Ditrichocorycaeus anglicus,Ditrichocorycaeus asiaticus,Ditrichocorycaeus aucklandicus,Ditrichocorycaeus dahli,Ditrichocorycaeus erythraeus,Ditrichocorycaeus lubbocki,Ditrichocorycaeus minimus,Ditrichocorycaeus subtilis,Eucalanus hyalinus,Euchaeta concinna,Euchaeta indica,Euchaeta longicornis,Euchaeta marina,Euchaeta marinella,Euchaeta rimana,Euchirella rostrata,Euchirella rostromagna,Euterpina acutifrons,Farranula carinata,Farranula concinna,Farranula curta,Farranula gibbula,Farranula gracilis,Farranula rostrata,Gladioferens inermis,Haloptilus longicornis,Heterorhabdus lobatus,Heterorhabdus papilliger,Labidocera acuta,Labidocera cervi,Labidocera farrani,Labidocera minuta,Lubbockia squillimana,Lucicutia flavicornis,Lucicutia gaussae,Macrosetella gracilis,Mecynocera clausi,Mesocalanus tenuicornis,Metacalanus aurivillii,Microsetella norvegica,Microsetella rosea,Nannocalanus minor,Neocalanus gracilis,Neocalanus tonsus,Oculosetella gracilis,Oithona atlantica,Oithona attenuata,Oithona australis,Oithona brevicornis,Oithona decipiens/similis,Oithona fallax,Oithona grp 1,Oithona grp 3,Oithona grp 4,Oithona longispina,Oithona nana,Oithona plumifera,Oithona rigida,Oithona setigera,Oithona simplex,Oithona tenuis,Oncaea clevei,Oncaea media,Oncaea mediterranea,Oncaea paraclevei,Oncaea scottodicarloi,Oncaea venusta,Oncaea vodjanitskii complex,Oncaea waldemari,Oncaea zernovi,Onychocorycaeus agilis,Onychocorycaeus catus,Onychocorycaeus giesbrechti,Onychocorycaeus latus,Onychocorycaeus pacificus,Onychocorycaeus pumilus,Paracalanus aculeatus,Paracalanus indicus,Paracalanus parvus,Pareucalanus attenuatus,Pareucalanus sewelli,Parundinella dakini,Parvocalanus crassirostris,Pleuromamma abdominalis,Pleuromamma borealis,Pleuromamma gracilis,Pleuromamma piseki,Pleuromamma quadrungulata,Pontellopsis krameri,Pseudodiaptomus aurivillii,Pseudodiaptomus mertoni,Rhincalanus cornutus,Rhincalanus nasutus,Rhincalanus rostrifrons,Sapphirina angusta,Sapphirina nigromaculata,Sapphirina opalina,Sapphirina scarlata,Sapphirina stellata,Scolecithrix danae,Stephos maculosus,Subeucalanus crassus,Subeucalanus longiceps,Subeucalanus pileatus,Subeucalanus subcrassus,Subeucalanus subtenuis,Temora discaudata,Temora stylifera,Temora turbinata,Temoropia mayumbaensis,Tortanus barbatus,Triconia conifera,Triconia dentipes,Undinula vulgaris,Urocorycaeus lautus,Urocorycaeus longistylis
1316,Esperance,13/10/10,10,-33.93,121.85,17.31309771,36.4233997,0,0,41.2638,0,15.7195,0,1.9649,0,0,0,0,0,0,0,0,0,1.9649,0,0,1.9649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1586,0,0,0,0,0,0,0,0,0,0,0,1.9649,0,1.9649,0,0,0,0,3.9299,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9649,0,0,0,0,0,0,13.7546,5.8948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9299,9.8247,19.6495,0,0,0,0,0,0,0,1.9649,0,0,0,0,0,0,0,0,0,0,0,1.9649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9299,0,0,0,0,0,0,0
1317,Esperance,20/01/11,1,-33.93,121.85,22.01635866,35.77609468,0,0,19.6495,0,0,0,0,0,0,0,0,0,3.9299,0,0,0,0,0,0,27.5092,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6495,0,0,7.8598,0,11.7897,0,0,11.7897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9299,0,35.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9299,7.8598,3.9299,0,0,0,0,3.9299,0,19.6495,27.5092,0,0,0,0,0,19.6495,39.2989,78.5978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9299,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,Esperance,12/05/11,5,-33.93,121.85,13.77964195,35.27422518,0,0,47.1586,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,23.5793,39.2989,0,0,0,0,15.7196,0,0,0,0,0,0,15.7196,0,0,0,0,70.738,15.7196,0,0,7.8598,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,23.5794,7.8598,0,15.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7196,0,0,0,1029.6313,47.1587,0,0,0,0,0,7.8598,0,55.0185,15.7196,0,0,0,0,0,78.5978,39.2989,39.2989,7.8598,0,0,0,0,0,0,0,23.5793,0,7.8598,0,0,0,0,23.5794,0,0,15.7196,15.7196,31.4391,0,0,0,15.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7196,0,0,0,0,0,0,0
1386,Esperance,18/08/11,8,-33.93,121.85,12.89220073,35.9880465,0,0,62.8782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6199,0,0,0,0,2.6199,0,2.6199,13.0996,0,0,0,0,0,0,2.6199,0,0,0,0,2.6199,0,0,0,0,10.4797,0,7.8598,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3395,7.8598,0,0,0,0,0,0,0,15.7196,5.2399,0,0,0,0,0,5.2399,0,15.7196,0,0,0,0,0,0,0,0,10.4798,0,5.2399,0,0,0,0,2.6199,0,0,20.9595,5.2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.679,0,0,0,0,0,0,0
1387,Esperance,30/11/11,11,-33.93,121.85,17.14738081,35.20056458,0,0,94.3174,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7196,0,15.7196,70.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0185,15.7196,0,0,0,0,0,0,0,102.1772,70.738,0,0,0,0,0,0,23.5793,110.0369,7.8598,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0
1555,Esperance,9/03/12,3,-33.93,121.85,18.87897003,35.60412997,0,0,212.2141,0,7.8598,0,0,0,0,0,0,0,39.2989,0,0,0,0,0,0,15.7196,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,31.4391,0,0,0,0,0,0,7.8598,0,0,0,0,15.7196,0,7.8598,337.9706,0,0,0,0,15.7196,0,0,0,0,0,0,7.8598,0,0,0,0,15.7196,0,0,0,23.5793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5978,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.775,70.738,0,0,0,0,0,259.3728,0,62.8783,23.5793,0,0,15.7196,0,0,7.8598,55.0185,377.2695,0,31.4391,0,0,0,0,0,7.8598,86.4576,0,7.8598,0,0,0,0,0,0,0,0,23.5793,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1739,Esperance,12/06/12,6,-33.93,121.85,13.12060053,35.59858558,0,0,19.6495,0,0,0,0,0,0,0,0,0,3.9299,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,3.9299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,15.7196,74.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9299,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,35.369,0,0,15.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9299,0,0,23.5793,23.5793,3.9299,0,0,0,0,7.8598,0,0,90.3875,0,0,0,0,0,39.2989,47.1587,7.8598,3.9299,0,0,0,0,0,0,3.9299,23.5794,0,11.7897,0,0,0,0,0,0,0,35.369,15.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5794,0,0,0,0,7.8598,0,0
1742,Esperance,10/09/12,9,-33.93,121.85,13.67842342,35.55377913,0,0,31.4392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9299,0,3.9299,0,0,0,0,0,0,0,0,0,0,0,3.9299,0,0,0,0,7.8598,0,0,23.5793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7196,0,0,3.9299,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,15.7196,0,0,0,0,3.9299,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,7.8598,3.9299,0,0,0,0,0,0,0,3.9299,43.2288,0,0,0,0,0,0,19.6495,11.7897,0,0,0,0,0,0,0,15.7196,11.7897,0,0,0,0,0,0,0,0,0,58.9484,27.5093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5794,0,0,0,0,3.9299,0,0
1552,Esperance,12/12/12,12,-33.93,121.85,18.202763,35.00857051,0,0,39.2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7196,165.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7196,0,0,0,0,0,0,0,0,0,47.1587,0,0,7.8598,0,0,0,78.5978,212.2141,0,0,0,0,0,0,0,0,15.7196,0,0,0,0,0,0,0,0,0,0,15.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0
3086,Esperance,14/03/13,3,-33.93,121.85,17.80951776,34.67870114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5793,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,7.8598,47.1587,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.8783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7196,23.5793,0,0,0,0,0,70.738,0,62.8783,62.8783,15.7196,0,0,0,0,39.2989,117.8967,55.0185,7.8598,0,7.8598,0,0,0,0,0,47.1587,0,0,0,0,0,0,0,0,0,0,23.5794,15.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8598,0,0,0,0,0,0,0
