plot,quadrant,ring_number,ring_gladwrap_wet_soil_g,glad_wrap_g,void_vol_cm3,ring_dry_soil_g,ring_g,ring_volume_cm3,wet_soil_mass_g,dry_soil_mass_g,soil_volume_cm3,grav_water_content_g_g,bulk_density_g_cm3,pH,EC_dS_m,K_mg_kg,P_mg_kg,NO3_N_mg_kg,NH4_N_mg_kg
14,S3,151,1964,6.9,13,1695,397,954.03,1560.1,1298,941.03,0.20192604,1.37933966,5.95,0.054,1085,105.4,2.2,9
14,S4,14,2116,5.3,38,1770,418.5,1038.56,1692.2,1351.5,1000.56,0.25209027,1.350743584,6.02,0.054,1106,71.2,6.1,8.1
15,S1,100,2204,7.1,22,1884,445,1038.56,1751.9,1439,1016.56,0.217442669,1.415558354,6,0.082,1195,112.4,15.4,7.3
15,S2,4,2161,5.9,16,1842,422.5,1038.56,1732.6,1419.5,1022.56,0.220570623,1.388182601,5.91,0.066,1173,104.7,10,6.9
15,S3,125,2085,9.3,6,1773,423.5,1038.56,1652.2,1349.5,1032.56,0.224305298,1.306945843,5.79,0.088,1505,143.9,11.9,8.9
15,S4,90,2118,6.8,1,1818,422,1038.56,1689.2,1396,1037.56,0.210028653,1.345464359,5.68,0.062,1223,151.8,4.4,7.7
16,S1,104,2010,6.7,6,1740,413.5,1026.48,1589.8,1326.5,1020.48,0.198492273,1.299878489,6.24,0.055,1185,61.4,3.4,8
16,S2,10,2035,6.2,4,1755,415,1026.48,1613.8,1340,1022.48,0.204328358,1.310539081,6,0.067,1301,101.1,8.3,8
16,S3,23,2064,6.6,1,1724,419,1038.56,1638.4,1305,1037.56,0.255478927,1.257758587,6.02,0.058,1160,109.7,8.5,7.5
16,S4,99,2001,5,13,1711,420,1038.56,1576,1291,1025.56,0.220759101,1.258824447,5.75,0.094,1560,162.8,20.2,7.6
17,S1,21,2087,6.9,9,1795,418.5,1038.56,1661.6,1376.5,1029.56,0.207119506,1.336978904,5.87,0.079,227,90,16.3,8.4
17,S2,98,1974,7.2,67,1691,416.5,1038.56,1550.3,1274.5,971.56,0.216398588,1.311807814,5.74,0.106,608,165.7,22.3,7.8
17,S3,59,1938,8,89,1581,411.5,1038.56,1518.5,1169.5,949.56,0.298418127,1.231623068,6.06,0.078,645,87.9,14.4,7.2
17,S4,37,1960,7.4,73,1656,420,1038.56,1532.6,1236,965.56,0.239967638,1.280086168,5.94,0.092,666,95.8,17.9,9
18,S1,38,1992,5.6,23,1663,420,1038.56,1566.4,1243,1015.56,0.260176991,1.223955256,5.78,0.08,814,143.5,13.1,7.9
18,S2,32,2025,7.5,25,1681,421,1038.56,1596.5,1260,1013.56,0.267063492,1.243142981,5.68,0.094,661,104.3,18.5,9.9
18,S3,117,2114,7,9,1735,421,1038.56,1686,1314,1029.56,0.283105023,1.276273359,5.87,0.07,778,88.8,8.9,8.8
18,S4,6,1998,9.3,54,1647,419.5,1026.48,1569.2,1227.5,972.48,0.278370672,1.262236756,5.74,0.097,777,115.5,24.7,8.9
19,S1,31,2161,6.1,34,1821,419.5,1038.56,1735.4,1401.5,1004.56,0.238244738,1.39513817,5.83,0.125,921,114.3,34.9,8
19,S2,45,2153,8.3,22,1787,418.5,1038.56,1726.2,1368.5,1016.56,0.261381074,1.346206815,5.97,0.107,974,132,25.5,8.5
19,S3,20,2029,5.5,39,1684,422.5,1038.56,1601,1261.5,999.56,0.269124059,1.262055304,6.19,0.055,766,98.4,7.6,8.9
19,S4,107,2264,6,4,1908,419,1038.56,1839,1489,1034.56,0.235057085,1.439259202,5.97,0.115,947,123.5,26.7,8
20,S1,108,2023,6.5,24,1715,408.5,1026.48,1608,1306.5,1002.48,0.230769231,1.303267896,6.1,0.077,885,92.6,11.4,8.2
20,S2,148,2068,6.7,37,1748,412.5,1038.56,1648.8,1335.5,1001.56,0.234593785,1.333419865,6.04,0.081,795,129.5,16.9,7.7
20,S3,60,2122,7.2,20,1856,422,1038.56,1692.8,1434,1018.56,0.180474198,1.407869934,6.06,0.125,841,157,16.7,9.4
20,S4,18,2105,6.5,26,1784,417.5,1026.48,1681,1366.5,1000.48,0.230150018,1.365844395,6.09,0.067,795,91.2,6.1,7.9
