plot,x,y,species_map_code,height_cm_when_mapped,notes_when_mapped,alive_first_monitor,height_cm_first_monitor,notes_first_monitor,plant_elevation
1,12.75,14.25,ACLE,23,,1,127,,5.557
1,12.75,15.75,FICO,11,,1,94,,5.492
1,12.75,17.25,GUSE,10,,1,30,,5.475999
1,12.75,18.75,TRTO,18,,1,116,,5.454
1,12.75,20.25,TOCI,13,,0,NA,,5.448999
1,12.75,21.75,SYAU,12,,1,32,,5.532999
1,12.75,23.25,CUAN,10,,1,30,,5.492
1,12.75,24.75,TRTO,14,,1,145,,5.501999
1,12.75,26.25,TOTE,10,,1,12,TOTE not GUSE,5.526
1,12.75,27.75,SYAU,14,,1,66,,5.491
1,12.75,29.25,TRTO,16,,1,159,,5.524
1,14.25,0.75,GLFE,8,,1,50,,5.774
1,14.25,2.25,SYFR,34,,1,54,,5.697999
1,14.25,3.75,JAPS,NA,,1,15,,5.699999
1,14.25,5.25,FICO,15,,1,123,,5.696
1,14.25,6.75,CRTR,27,,1,46,,5.728
1,14.25,8.25,GUSE,7,,0,NA,,5.657999
1,14.25,9.75,JAPS,NA,,1,12,,5.557
1,14.25,11.25,TRTO,10,,1,124,,5.564
1,14.25,12.75,TOCI,15,,1,51,,5.521999
1,14.25,14.25,GLFE,10,,1,50,,5.505
1,14.25,15.75,FICO,18,,1,52,,5.459
1,14.25,17.25,FICO,14,,1,72,,5.372
1,14.25,18.75,GUSE,13,,1,30,,5.368999
1,14.25,20.25,SYFR,50,,0,NA,,5.416999
1,14.25,21.75,SYFR,60,,1,67,,5.373
1,14.25,23.25,TOCI,15,,0,NA,,5.405
1,14.25,24.75,CUAN,18,,1,25,,5.443999
1,14.25,26.25,ACLE,14,,1,127,,5.519
1,14.25,27.75,TRTO,11,,1,21,,5.526
1,14.25,29.25,TOCI,11,,0,NA,,5.531
1,15.75,0.75,STBR,38,,1,66,staked,5.702
1,15.75,2.25,GUSE,4,,0,NA,,5.689
1,15.75,3.75,FICO,11,,0,NA,,5.724999
1,15.75,5.25,GUSE,13,,1,27,,5.723
1,15.75,6.75,ALEX,7,,1,58,,5.584
1,15.75,8.25,SYAU,9,,1,14,,5.611999
1,15.75,9.75,STBR,31,,0,NA,,5.587999
1,15.75,11.25,ALEX,4,,0,NA,,5.537
1,15.75,12.75,DIFA,34,,1,35,,5.547999
1,15.75,14.25,GUSE,11,,0,NA,,5.408999
1,15.75,15.75,CUAN,11,,1,27,,5.370999
1,15.75,17.25,JAPS,NA,,1,10,,5.375
1,15.75,18.75,ALEX,7,,1,20,leaning,5.355999
1,15.75,20.25,SYAU,15,,0,NA,,5.335
1,15.75,21.75,FICO,15,,1,40,,5.363999
1,15.75,23.25,GLFE,12,,0,NA,,5.377999
1,15.75,24.75,TRTO,4,top broken,0,NA,,5.447
1,15.75,26.25,TRTO,6,,1,148,,5.520999
1,15.75,27.75,TOTE,51,,0,NA,,5.565999
1,15.75,29.25,GLFE,14,,1,52,,5.632999
1,17.25,0.75,ALEX,5,,1,13,,5.711999
1,17.25,2.25,ALEX,7,,1,63,,5.704999
1,17.25,3.75,TRTO,3,,1,152,,5.686999
1,17.25,5.25,FICO,14,,1,64,,5.658999
1,17.25,6.75,DIFA,54,,0,NA,,5.603
1,17.25,8.25,ALEX,10,,1,13,,5.53
1,17.25,9.75,GUSE,8,,0,NA,,5.434999
1,17.25,11.25,TRTO,18,,1,123,,5.408999
1,17.25,12.75,SYAU,11,,1,14,,5.431
1,17.25,14.25,ACLE,16,,1,127,,5.399
1,17.25,15.75,FIVI,59,,0,NA,,5.372
1,17.25,17.25,GUSE,14,,0,NA,,5.324999
1,17.25,18.75,TOCI,16,,0,NA,,5.342999
1,17.25,20.25,JAPS,NA,,1,11,deer?,5.347
1,17.25,21.75,ACLE,12,,1,97,,5.354
1,17.25,23.25,CRTR,18,,1,23,,5.458
1,17.25,24.75,ACLE,17,,1,96,,5.559999
1,17.25,26.25,GLFE,9,,1,22,,5.613999
1,17.25,27.75,JAPS,NA,,1,16,,5.61
1,17.25,29.25,TRTO,16,,1,139,,5.586999
1,18.75,0.75,GUSE,13,,1,47,,5.701
1,18.75,2.25,GUSE,23,,1,48,,5.706999
1,18.75,3.75,JAPS,NA,,1,15,,5.617
1,18.75,5.25,FICO,7,,1,52,,5.585999
1,18.75,6.75,TOCI,16,,0,NA,,5.583
1,18.75,8.25,FICO,11,,1,51,,5.485
1,18.75,9.75,GLFE,6,,0,NA,,5.38
1,18.75,11.25,ALEX,7,,1,65,,5.383999
1,18.75,12.75,FICO,10,,1,51,,5.376999
1,18.75,14.25,ACLE,12,,1,93,,5.343999
1,18.75,15.75,SYAU,14,,0,NA,,5.339
1,18.75,17.25,GUSE,28,,0,NA,,5.307
1,18.75,18.75,ALEX,8,,1,70,,5.334
1,18.75,20.25,ACLE,15,,1,87,,5.347
1,18.75,21.75,STBR,20,,1,47,,5.425
1,18.75,23.25,ACLE,19,,1,164,,5.554999
1,18.75,24.75,FICO,12,,0,NA,,5.577
1,18.75,26.25,DIFA,48,,0,NA,,5.644
1,18.75,27.75,TRTO,8,,1,89,,5.627999
1,18.75,29.25,ACLE,10,,1,99,,5.577
1,20.25,0.75,ALEX,9,,1,87,,5.671999
1,20.25,2.25,JAPS,NA,,1,10,,5.594999
1,20.25,3.75,TRTO,6,,1,146,,5.633999
1,20.25,5.25,GLFE,11,,1,14,leaning,5.566999
1,20.25,6.75,JAPS,NA,,1,13,,5.537
1,20.25,8.25,GUSE,26,,1,46,,5.381999
1,20.25,9.75,GLFE,7,,1,52,,5.374
1,20.25,11.25,ACLE,15,,1,128,,5.376999
1,20.25,12.75,JAPS,NA,,1,10,,5.350999
1,20.25,14.25,SYAU,12,,0,NA,,5.369999
1,20.25,15.75,JAPS,NA,,1,10,,5.329999
1,20.25,17.25,TOCI,10,,0,NA,,5.309999
1,20.25,18.75,TOCI,39,,0,NA,,5.370999
1,20.25,20.25,TRTO,7,,1,40,,5.534999
1,20.25,21.75,GLFE,9,,1,84,,5.552
1,20.25,23.25,ALEX,9,,1,52,,5.546999
1,20.25,24.75,TRTO,6,,1,103,,5.564
1,20.25,26.25,TOCI,13,,1,46,,5.59
1,20.25,27.75,SYFR,41,,1,41,,5.544
1,20.25,29.25,SYAU,15,,1,48,,5.525
1,21.75,0.75,FICO,9,,1,122,,5.664999
1,21.75,2.25,ALEX,7,,1,79,,5.592999
1,21.75,3.75,TRTO,5,,1,49,,5.540999
1,21.75,5.25,TRTO,7,,1,107,,5.489999
1,21.75,6.75,SYAU,13,,0,NA,,5.407999
1,21.75,8.25,GUSE,8,,0,NA,,5.383999
1,21.75,9.75,GLFE,11,,0,NA,,5.363999
1,21.75,11.25,GUSE,30,,1,57,,5.375
1,21.75,12.75,GUSE,28,,1,35,,5.372
1,21.75,14.25,CRTR,24,,1,39,,5.316999
1,21.75,15.75,ACLE,15,,1,101,,5.364999
1,21.75,17.25,CUAN,8,,0,NA,,5.44
1,21.75,18.75,JAPS,NA,,1,7,,5.535999
1,21.75,20.25,FIVI,66,,1,49,,5.512
1,21.75,21.75,JAPS,NA,,1,20,,5.534999
1,21.75,23.25,TRTO,6,,1,157,,5.535999
1,21.75,24.75,TRTO,5,,1,141,,5.583
1,21.75,26.25,FICO,18,,1,70,,5.505
1,21.75,27.75,TOTE,50,,1,16,top dead and re-shot from base,5.517
1,21.75,29.25,SYFR,32,,1,39,,5.538
1,23.25,0.75,STBR,13,,1,60,,5.572999
1,23.25,2.25,TRTO,5,,1,15,,5.583
1,23.25,3.75,GUSE,23,,1,33,,5.543
1,23.25,5.25,CRTR,20,,1,30,,5.402999
1,23.25,6.75,DIFA,39,,0,NA,,5.409999
1,23.25,8.25,GLFE,9,,1,56,,5.375999
1,23.25,9.75,JAPS,NA,,1,20,,5.38
1,23.25,11.25,GUSE,24,,1,55,,5.381999
1,23.25,12.75,TRTO,5,,1,48,,5.38
1,23.25,14.25,TOCI,12,,0,NA,,5.397999
1,23.25,15.75,ACLE,12,,1,78,,5.468999
1,23.25,17.25,GUSE,28,,1,67,,5.561999
1,23.25,18.75,GUSE,30,,0,NA,,5.565
1,23.25,20.25,ALEX,11,,1,69,,5.579999
1,23.25,21.75,FIVI,65,,1,91,,5.517
1,23.25,23.25,TOCI,13,,0,NA,,5.495999
1,23.25,24.75,GLFE,8,,1,9,leaning,5.526999
1,23.25,26.25,GLFE,10,,1,16,leaning,5.471
1,23.25,27.75,FICO,5,,1,7,,5.486999
1,23.25,29.25,STBR,22,,1,54,,5.546
1,24.75,0.75,TOCI,16,,0,NA,,5.522999
1,24.75,2.25,FICO,8,,1,59,,5.493
1,24.75,3.75,SYFR,22,,0,NA,,5.415999
1,24.75,5.25,ALEX,8,,1,39,,5.396999
1,24.75,6.75,SYFR,16,,0,NA,,5.394999
1,24.75,8.25,GUSE,24,,1,46,,5.396999
1,24.75,9.75,GLFE,10,,0,NA,,5.394999
1,24.75,11.25,TRTO,5,,1,99,,5.407
1,24.75,12.75,JAPS,NA,,1,11,,5.477
1,24.75,14.25,TOCI,13,,1,47,,5.520999
1,24.75,15.75,GUSE,26,,1,33,,5.585999
1,24.75,17.25,CUAN,8,,0,NA,,5.559999
1,24.75,18.75,JAPS,NA,,1,21,,5.605999
1,24.75,20.25,ACLE,16,,0,NA,,5.541999
1,24.75,21.75,JAPS,NA,,1,21,,5.565
1,24.75,23.25,ALEX,9,,0,NA,,5.475999
1,24.75,24.75,TOCI,10,,1,18,,5.626999
1,24.75,26.25,ACLE,8,,1,89,,5.533999
1,24.75,27.75,TOCI,17,,0,NA,,5.567999
1,24.75,29.25,ACLE,16,,1,151,,5.520999
1,26.25,0.75,ACLE,5,,1,117,,5.487999
1,26.25,2.25,JAPS,NA,,1,15,,5.474999
1,26.25,3.75,SYFR,25,,1,34,,5.486
1,26.25,5.25,FICO,14,,1,49,,5.44
1,26.25,6.75,TRTO,7,,1,124,,5.416999
1,26.25,8.25,TOCI,12,,0,NA,,5.4
1,26.25,9.75,SYAU,16,,0,NA,,5.414
1,26.25,11.25,ALEX,6,,0,NA,,5.482999
1,26.25,12.75,TRTO,6,,1,101,,5.598999
1,26.25,14.25,ALEX,11,,1,54,,5.612999
1,26.25,15.75,GUSE,28,,1,48,,5.594999
1,26.25,17.25,GUSE,27,,1,42,,5.597
1,26.25,18.75,CRTR,24,,0,NA,,5.586999
1,26.25,20.25,GLFE,11,,1,67,,5.573999
1,26.25,21.75,SYFR,26,,1,38,,5.521999
1,26.25,23.25,TOCI,15,,1,14,,5.524
1,26.25,24.75,JAPS,NA,,1,20,,5.545
1,26.25,26.25,JAPS,NA,,1,20,,5.544
1,26.25,27.75,TRTO,4,,1,129,,5.519
1,26.25,29.25,ACLE,10,,1,162,,5.504
1,27.75,0.75,TOTE,32,,0,NA,,5.527999
1,27.75,2.25,TRTO,5,,1,165,,5.487999
1,27.75,3.75,GUSE,28,,1,71,,5.513999
1,27.75,5.25,JAPS,NA,,1,10,,5.467
1,27.75,6.75,JAPS,NA,,1,10,,5.443999
1,27.75,8.25,TOCI,13,,0,NA,,5.429999
1,27.75,9.75,ACLE,11,,1,106,,5.5
1,27.75,11.25,STBR,23,,0,NA,,5.547999
1,27.75,12.75,TOCI,12,,1,24,,5.545
1,27.75,14.25,GUSE,13,,1,45,,5.600999
1,27.75,15.75,ACLE,12,,1,39,,5.614999
1,27.75,17.25,CRTR,24,,1,22,,5.578
1,27.75,18.75,FICO,12,,1,29,,5.573999
1,27.75,20.25,ACLE,12,,1,108,,5.517
1,27.75,21.75,CRTR,23,,1,32,,5.492
1,27.75,23.25,TOCI,18,,1,49,,5.553999
1,27.75,24.75,FIVI,30,,1,42,,5.500999
1,27.75,26.25,FICO,7,,0,NA,,5.518
1,27.75,27.75,SYFR,20,,1,47,,5.477
1,27.75,29.25,GLFE,16,,1,29,,5.421
1,29.25,0.75,FIVI,37,,1,81,,5.506999
1,29.25,2.25,DIFA,20,,0,NA,,5.481999
1,29.25,3.75,DIFA,31,,1,47,,5.524
1,29.25,5.25,FIVI,38,,1,95,,5.500999
1,29.25,6.75,GLFE,13,,0,NA,,5.520999
1,29.25,8.25,TOCI,8,,0,NA,,5.612999
1,29.25,9.75,SYAU,18,,0,NA,,5.594999
1,29.25,11.25,GUSE,35,,1,66,,5.606999
1,29.25,12.75,TRTO,5,,1,88,,5.605
1,29.25,14.25,GUSE,27,,1,38,,5.657
1,29.25,15.75,TOCI,16,,0,NA,,5.534999
1,29.25,17.25,GUSE,21,,0,NA,,5.579
1,29.25,18.75,SYAU,9,,1,25,,5.513
1,29.25,20.25,ALEX,5,,1,40,,5.567999
1,29.25,21.75,FIVI,41,,1,82,,5.486999
1,29.25,23.25,TRTO,6,,1,112,,5.508999
1,29.25,24.75,GLFE,14,,1,41,,5.491
1,29.25,26.25,TOCI,12,,1,19,,5.498
1,29.25,27.75,STBR,26,,1,44,,5.418
1,29.25,29.25,JAPS,NA,,1,33,,5.361999
2,0.75,0.75,FLAU,10,,1,13,,5.676
2,0.75,2.25,SYSM,18,,1,38,,5.63
2,0.75,3.75,ARTR,46,,1,55,,5.605999
2,0.75,5.25,FLAU,13,,1,65,,5.561999
2,0.75,6.75,CUAN,13,,1,39,,5.528999
2,0.75,8.25,NOLO,32,,1,27,height of living,5.48
2,0.75,9.75,TOTE,69,,0,NA,,5.495999
2,0.75,11.25,ARTR,48,,0,NA,,5.459
2,0.75,12.75,CUAN,13,,0,NA,,5.414999
2,0.75,14.25,DIFA,38,,1,36,,5.431
2,0.75,15.75,FIVI,52,,1,86,,5.353
2,0.75,17.25,CUAN,11,,1,24,,5.379
2,0.75,18.75,ACLA,18,,1,47,,5.321
2,0.75,20.25,SYSM,14,,1,61,,5.318999
2,0.75,21.75,FLAU,12,,1,47,,5.323999
2,0.75,23.25,ARTR,41,,0,NA,,5.333
2,0.75,24.75,FIOB,17,,1,57,,5.395999
2,0.75,26.25,SYSM,21,,1,31,,5.356999
2,0.75,27.75,SYFR,54,,0,NA,,5.381999
2,0.75,29.25,ACLA,22,,1,30,,5.355
2,2.25,0.75,SYSM,18,,1,31,,5.611999
2,2.25,2.25,DRDE,13,,1,26,,5.548999
2,2.25,3.75,FIOB,19,,1,66,,5.552999
2,2.25,5.25,SYAU,18,,1,37,,5.465
2,2.25,6.75,FLAU,13,,1,26,,5.471
2,2.25,8.25,CRTR,25,,1,42,,5.434999
2,2.25,9.75,MEBR,17,,1,60,,5.44
2,2.25,11.25,NOLO,24,,1,36,,5.389999
2,2.25,12.75,MEBR,13,,1,85,,5.313
2,2.25,14.25,ARTR,44,,0,NA,,5.301
2,2.25,15.75,TOTE,52,,1,4,top dead and re-shot from base,5.322
2,2.25,17.25,DIFA,41,,1,56,,5.282999
2,2.25,18.75,CUAN,14,,0,NA,,5.372
2,2.25,20.25,ARTR,40,,0,NA,,5.336999
2,2.25,21.75,FIVI,54,,1,7,top dead and re-shot from base,5.329
2,2.25,23.25,FLAU,9,,1,60,,5.367
2,2.25,24.75,FIOB,44,,1,48,,5.323999
2,2.25,26.25,ARTR,31,,1,49,,5.375999
2,2.25,27.75,CUAN,10,,1,22,,5.368999
2,2.25,29.25,ARTR,33,,0,NA,,5.440999
2,3.75,0.75,TOTE,58,,0,NA,,5.539999
2,3.75,2.25,DRDE,13,,1,20,,5.472
2,3.75,3.75,FIVI,59,,1,71,,5.407
2,3.75,5.25,DIFA,39,,0,NA,,5.422999
2,3.75,6.75,DIFA,50,,1,5,snapped top and reshot from base,5.334
2,3.75,8.25,SYSM,22,,1,39,,5.387
2,3.75,9.75,TOTE,66,,1,71,,5.394
2,3.75,11.25,STBR,47,,1,3,top dead and re-shot from base,5.323999
2,3.75,12.75,FIVI,19,FIOB replaced with FIVI on 21/11/16,1,63,,5.267
2,3.75,14.25,SYFR,40,,1,57,,5.34
2,3.75,15.75,CUAN,9,,1,24,,5.314
2,3.75,17.25,ARTR,44,,0,NA,,5.293
2,3.75,18.75,FLAU,7,,1,16,,5.250999
2,3.75,20.25,CUAN,7,,1,17,,5.339
2,3.75,21.75,FLAU,10,,0,NA,,5.346
2,3.75,23.25,FIVI,54,,1,74,,5.410999
2,3.75,24.75,TOTE,63,,1,2,top dead and re-shot from base,5.434
2,3.75,26.25,FIOB,18,,1,44,,5.427999
2,3.75,27.75,MEBR,18,,1,72,,5.414999
2,3.75,29.25,CUAN,9,,1,38,,5.429999
2,5.25,0.75,STBR,65,,1,1,top dead and re-shot from base,5.44
2,5.25,2.25,CRTR,32,,1,37,,5.315
2,5.25,3.75,FIVI,52,,1,1,top dead and re-shot from base,5.322
2,5.25,5.25,SYAU,16,,1,48,,5.303999
2,5.25,6.75,ACLA,22,,1,47,,5.274
2,5.25,8.25,FLAU,12,,1,7,,5.241
2,5.25,9.75,MEBR,21,,1,76,,5.291999
2,5.25,11.25,SYSM,19,,1,23,,5.263999
2,5.25,12.75,FIOB,21,,1,36,,5.298999
2,5.25,14.25,FLAU,11,,1,13,,5.290999
2,5.25,15.75,FIVI,57,,1,7,top dead and re-shot from base,5.252999
2,5.25,17.25,MEBR,21,,1,74,,5.322
2,5.25,18.75,ARTR,42,,1,26,snapped top,5.329
2,5.25,20.25,ARTR,45,,0,NA,,5.370999
2,5.25,21.75,CUAN,12,,0,NA,,5.414999
2,5.25,23.25,MEBR,22,,1,89,,5.414
2,5.25,24.75,ARTR,39,,0,NA,grass infested,5.367
2,5.25,26.25,SYSM,22,,1,46,,5.394
2,5.25,27.75,FIOB,23,,1,57,,5.316999
2,5.25,29.25,FLAU,10,,1,26,,5.288
2,6.75,0.75,CUAN,11,,0,NA,,5.261
2,6.75,2.25,SYFR,46,,0,NA,,5.243999
2,6.75,3.75,ARTR,36,,1,66,,5.290999
2,6.75,5.25,CRTR,21,,1,34,,5.277999
2,6.75,6.75,CUAN,13,,1,47,,5.221
2,6.75,8.25,CUAN,10,,1,22,,5.177
2,6.75,9.75,MEBR,26,,1,46,,5.204999
2,6.75,11.25,FLAU,7,,0,NA,,5.297999
2,6.75,12.75,MEBR,19,,1,58,,5.263
