pond,2015/6/24,2015/7/10,2015/7/22,2015/8/3,2015/8/16,2015/8/27,2015/9/8,2015/9/21
202L,4.32,12.21,10.98,8.03,4.41,3.57,3.62,30.16
219L,5.45,3.84,8.56,16.53,14.06,5.69,2.61,12.45
204M,5.14,2.53,3.11,2.97,3.35,2.07,2.22,3.57
218M,7.45,4.58,3.98,7.89,3.74,7.24,3.18,6.32
203H,6.71,27.24,13,8.47,4.87,6.22,4.15,18.48
217H,7.45,2.29,2.53,0.92,1.76,0.87,0.92,1.01
